key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,19.01.2024
Export Time,16:36:50
Frame Index Range:,0 - 1081
Relative Time Range,00:00.000 - 00:55.963
Absolute Time Range,81356.702534 - 81412.665883
