key,value
Player Software Version,3.5.8
Data Format Version,2.0
Export Date,15.05.2024
Export Time,16:18:39
Frame Index Range:,0 - 1503
Relative Time Range,00:00.000 - 01:16.409
Absolute Time Range,81550.93748499999 - 81627.34720999999
