key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,19.01.2024
Export Time,10:19:18
Frame Index Range:,0 - 1206
Relative Time Range,00:00.000 - 00:48.802
Absolute Time Range,165483.486738 - 165532.28904
