key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,29.01.2024
Export Time,14:49:11
Frame Index Range:,0 - 951
Relative Time Range,00:00.000 - 00:39.836
Absolute Time Range,353372.100532 - 353411.937002
