key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,19.01.2024
Export Time,16:43:30
Frame Index Range:,0 - 1109
Relative Time Range,00:00.000 - 00:57.268
Absolute Time Range,85024.16467299999 - 85081.433005
