key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,30.01.2024
Export Time,16:14:15
Frame Index Range:,0 - 1252
Relative Time Range,00:00.000 - 00:48.350
Absolute Time Range,-823464.705235 - -823416.354674
