world_index,marker_uid,corner_0_x,corner_0_y,corner_1_x,corner_1_y,corner_2_x,corner_2_y,corner_3_x,corner_3_y
0,apriltag_v3:tag36h11:0,233.9387512207031,674.2725219726561,280.2089233398437,698.3353271484375,300.3746032714843,642.9981079101564,253.20982360839847,620.9569702148438
0,apriltag_v3:tag36h11:1,211.7130889892578,491.4995422363281,247.2269744873047,505.35961914062494,270.60302734375,458.05941772460943,234.62301635742188,446.93853759765636
0,apriltag_v3:tag36h11:2,249.42378234863276,409.0818176269531,286.86993408203125,419.8792114257813,299.36822509765625,364.10852050781256,261.96124267578125,355.81405639648443
0,apriltag_v3:tag36h11:3,290.8023681640625,330.90240478515625,327.86822509765625,339.88201904296875,333.6949157714843,285.7330932617187,295.8324279785156,279.10809326171875
0,apriltag_v3:tag36h11:4,396.18896484374994,305.5049133300782,441.5997314453125,312.86999511718744,447.24380493164074,257.27984619140625,400.9673461914063,252.26979064941418
0,apriltag_v3:tag36h11:5,485.5481567382813,319.8622131347656,538.2923583984374,328.4830932617188,545.4036254882811,270.04986572265625,491.82254028320307,262.88265991210926
0,apriltag_v3:tag36h11:6,624.4740600585936,340.6506042480468,685.4790649414062,349.9439392089845,694.6450805664065,287.23251342773443,632.0653686523438,279.38235473632795
0,apriltag_v3:tag36h11:7,779.1307983398436,365.8887634277344,841.4152221679686,379.24563598632807,853.4243774414062,317.92352294921875,790.8992919921875,304.2738037109376
0,apriltag_v3:tag36h11:8,935.8882446289062,387.53924560546875,992.5055541992189,397.17608642578125,1002.4792480468751,336.02124023437494,944.4530639648439,325.7171936035156
0,apriltag_v3:tag36h11:9,1069.7326660156248,416.12228393554693,1117.2308349609375,425.48706054687494,1128.218627929688,367.5924987792969,1080.6687011718752,356.7910461425783
0,apriltag_v3:tag36h11:10,1156.1348876953125,421.6320495605469,1194.440185546875,433.94244384765625,1204.1776123046875,380.38409423828125,1166.987060546875,366.1040344238281
0,apriltag_v3:tag36h11:11,1262.0750732421875,491.3206787109375,1275.8187255859373,439.6333618164063,1246.6302490234375,430.44564819335943,1232.8632812500002,484.04852294921875
0,apriltag_v3:tag36h11:12,1238.20947265625,578.7059936523438,1269.4240722656248,576.7814941406248,1274.0484619140627,521.0234985351562,1243.4239501953127,520.919128417969
0,apriltag_v3:tag36h11:13,1234.0762939453125,676.4512939453125,1264.0838623046873,673.935852050781,1265.9602050781245,623.1616821289061,1236.1365966796875,623.1747436523439
0,apriltag_v3:tag36h11:22,458.03863525390625,689.8760375976564,492.4096374511719,701.0707397460938,498.73605346679693,666.227783203125,463.60791015625006,655.7337646484377
0,apriltag_v3:tag36h11:23,505.8251037597655,538.457763671875,498.1015625,573.232177734375,531.931640625,581.8179931640626,538.97509765625,546.6508178710938
0,apriltag_v3:tag36h11:24,531.9653320312499,464.1478271484375,525.5452880859374,497.44067382812494,557.2339477539062,503.77972412109375,564.292236328125,470.1056823730469
0,apriltag_v3:tag36h11:25,565.0189208984376,397.6812744140625,594.9529418945311,402.5806579589844,601.6223144531248,371.9691162109375,571.4114379882812,367.4131469726563
0,apriltag_v3:tag36h11:26,997.2030639648439,580.2218627929688,1027.937255859375,583.2810058593749,1033.400146484375,549.5314331054686,1003.420654296875,545.9841308593751
0,apriltag_v3:tag36h11:27,1001.0321044921875,467.1805725097656,1029.36767578125,471.5846557617188,1032.581298828125,440.2480163574219,1004.4752807617188,435.6370544433594
0,apriltag_v3:tag36h11:28,991.1479492187499,661.0012817382811,1022.3327026367189,663.0740966796876,1029.4482421875,628.1996459960939,998.2515258789064,626.2049560546875
0,apriltag_v3:tag36h11:54,137.36608886718753,327.622802734375,156.21675109863278,299.3376159667969,139.73011779785153,274.4923400878907,119.57700347900392,302.8505554199219
1,apriltag_v3:tag36h11:0,230.1724548339844,673.9668579101561,276.2037658691406,697.7670288085938,295.7957763671875,642.2750244140625,249.0409851074219,620.3893432617186
1,apriltag_v3:tag36h11:1,207.0399475097656,491.57562255859375,242.32659912109378,505.06805419921875,265.4590759277344,457.5320739746094,229.58245849609372,447.07528686523443
1,apriltag_v3:tag36h11:2,244.36308288574207,409.0878295898438,281.53125,419.4266052246094,293.7109375000001,363.49343872070307,256.43249511718744,355.8240051269531
1,apriltag_v3:tag36h11:3,285.2240295410156,330.7234802246094,321.94287109375,339.21325683593744,327.7635192871095,285.20458984375,289.9852600097657,278.8232727050781
1,apriltag_v3:tag36h11:4,389.9229736328125,304.3453979492188,435.2853088378907,311.5404357910156,440.5663146972657,256.0351867675782,394.71829223632807,251.50735473632815
1,apriltag_v3:tag36h11:5,479.12420654296864,318.16687011718744,531.5772705078126,326.4140014648438,538.603271484375,268.09640502929693,485.15283203125,261.17791748046875
1,apriltag_v3:tag36h11:6,617.5931396484375,338.04046630859375,678.62451171875,346.77398681640625,687.5840454101561,284.2635803222657,625.1107788085936,276.8513793945313
1,apriltag_v3:tag36h11:7,772.4613037109375,362.10879516601557,834.7495117187499,375.3752441406249,846.5498657226561,313.8995056152343,783.9438476562501,300.7345275878907
1,apriltag_v3:tag36h11:8,929.4189453125,383.037353515625,986.4287719726562,392.407470703125,996.1272583007812,331.2723999023437,937.93408203125,321.1779479980468
1,apriltag_v3:tag36h11:9,1063.9912109375002,411.0146789550781,1111.883056640625,420.21572875976557,1122.5506591796873,362.10327148437494,1074.7618408203125,351.7060546875
1,apriltag_v3:tag36h11:10,1151.113037109375,416.2259826660156,1189.7113037109375,428.2580566406249,1199.2185058593752,374.65576171875,1161.615234375,360.7855529785157
1,apriltag_v3:tag36h11:11,1258.3084716796877,485.7045288085937,1271.8540039062498,433.80090332031244,1242.3225097656248,424.74459838867193,1228.7071533203125,478.18341064453125
1,apriltag_v3:tag36h11:12,1234.6586914062498,572.8457641601562,1266.5751953125,571.2201538085939,1270.4248046875002,515.2503662109375,1239.7297363281252,515.0389404296874
1,apriltag_v3:tag36h11:13,1231.3322753906252,670.8419189453125,1261.7716064453125,668.5944213867188,1263.350219726562,617.7498779296875,1233.106689453125,617.7684936523439
1,apriltag_v3:tag36h11:22,453.111328125,687.8856201171874,487.3171081542969,698.7922973632812,493.3177490234375,663.9215698242189,458.2651977539062,653.7863159179688
1,apriltag_v3:tag36h11:23,499.7925720214844,536.2689208984373,492.40344238281256,570.9436035156249,526.1248779296874,579.2993774414064,533.0305175781249,544.05615234375
1,apriltag_v3:tag36h11:24,525.7729492187501,461.9270324707032,519.2654418945314,495.0209655761719,551.033935546875,501.2973022460937,557.9526367187499,467.4488830566406
1,apriltag_v3:tag36h11:25,558.556640625,395.36944580078125,588.3335571289064,400.0901794433594,594.8032836914061,369.5545349121094,564.7425537109373,364.9467468261719
1,apriltag_v3:tag36h11:26,991.9292602539062,575.3251953125001,1022.9840698242188,578.2998046874999,1027.951416015625,544.6451416015624,998.0145263671874,540.8026733398439
1,apriltag_v3:tag36h11:27,995.1770629882812,462.2866516113281,1023.3304443359376,466.5623168945313,1026.9886474609375,435.1613159179687,998.4894409179686,430.71560668945307
