key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,19.01.2024
Export Time,10:04:20
Frame Index Range:,0 - 1397
Relative Time Range,00:00.000 - 00:55.466
Absolute Time Range,431744.625182 - 431800.091946
