key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,29.01.2024
Export Time,16:11:00
Frame Index Range:,0 - 1941
Relative Time Range,00:00.000 - 01:11.062
Absolute Time Range,245522.25157199998 - 245593.314066
