row,non_zero_column
0,[]
1,[291]
2,[]
3,[305]
4,[268]
5,[266]
6,[]
7,[]
8,[272]
9,[329]
10,[]
11,[265]
12,[215]
13,[]
14,[342]
15,[]
16,[]
17,[275]
18,[367]
19,[]
20,"[246, 322]"
21,[]
22,[53]
23,[]
24,[263]
25,"[154, 269, 282]"
26,[]
27,[325]
28,[365]
29,[]
30,[148]
31,[]
32,[66]
33,[336]
34,[]
35,[297]
36,[]
37,[]
38,[362]
39,[291]
40,[]
41,[]
42,[216]
43,[]
44,[]
45,"[351, 356]"
46,[340]
47,[]
48,[]
49,[235]
50,[228]
51,[155]
52,[]
53,[268]
54,[240]
55,[]
56,[]
57,[]
58,[]
59,[]
60,[]
61,[]
62,[360]
63,[252]
64,[]
65,"[225, 230]"
66,[]
67,[141]
68,[]
69,[]
70,[]
71,[]
72,"[163, 203]"
73,[]
74,[]
75,[232]
76,[214]
77,[]
78,[]
79,[]
80,[255]
81,[]
82,[]
83,[74]
84,[3]
85,[]
86,[]
87,[]
88,[]
89,[]
90,[]
91,[]
92,"[47, 289, 324]"
93,[]
94,[285]
95,[]
96,[304]
97,"[135, 355]"
98,[184]
99,[]
100,[]
101,[]
102,[]
103,[]
104,[]
105,[203]
106,[96]
107,[133]
108,[]
109,"[223, 240]"
110,[]
111,[]
112,[]
113,[302]
114,[]
115,"[77, 181]"
116,[]
117,[]
118,[]
119,[]
120,[119]
121,[]
122,[40]
123,[73]
124,[]
125,[]
126,"[245, 282]"
127,[]
128,[]
129,[]
130,"[110, 117]"
131,[]
132,[]
133,[298]
134,[194]
135,[]
136,[]
137,[228]
138,[]
139,[157]
140,[]
141,[]
142,[]
143,[72]
144,[235]
145,[]
146,[260]
147,[249]
148,"[138, 197]"
149,[]
150,[]
151,[]
152,[144]
153,[]
154,[]
155,[]
156,[]
157,[40]
158,"[151, 252]"
159,[194]
160,[219]
161,[]
162,[]
163,[]
164,[]
165,[]
166,[182]
167,[161]
168,[247]
169,[250]
170,[105]
171,[110]
172,[]
173,[]
174,[244]
175,"[222, 226]"
176,[]
177,[]
178,[]
179,[108]
180,[220]
181,"[147, 221, 234]"
182,"[125, 222]"
183,[]
184,[]
185,"[228, 230]"
186,[213]
187,"[42, 223]"
188,[]
189,"[108, 181, 223]"
190,[]
191,[70]
192,[179]
193,[]
194,[]
195,[]
196,[]
197,"[124, 237]"
198,[198]
199,[260]
200,[]
201,[178]
202,[]
203,[]
204,[217]
205,[242]
206,[137]
207,[]
208,[]
209,[]
210,[]
211,[53]
212,[]
213,[]
214,"[37, 297]"
215,[209]
216,[]
217,[]
218,[]
219,[38]
220,[]
221,[154]
222,[]
223,[]
224,"[198, 199]"
225,"[145, 217]"
226,[]
227,[185]
228,[137]
229,"[107, 248]"
230,[]
231,[216]
232,[]
233,[]
234,[]
235,[263]
236,"[133, 192]"
237,[140]
238,[183]
239,"[183, 215]"
240,[172]
241,"[181, 267]"
242,[207]
243,"[199, 236]"
244,"[180, 214]"
245,[]
246,"[99, 174]"
247,[264]
248,[]
249,"[126, 177]"
250,[59]
251,"[191, 200]"
252,[]
253,[229]
254,[]
255,[216]
256,[193]
257,[]
258,"[199, 235]"
259,[209]
260,[]
261,[]
262,[286]
263,[]
264,[]
265,[183]
266,[172]
267,[]
268,[]
269,"[87, 175]"
270,[]
271,[189]
272,[93]
273,"[160, 204, 207]"
274,[259]
275,[199]
276,[176]
277,[179]
278,[]
279,[189]
280,"[116, 186]"
281,[]
282,[]
283,[189]
284,[]
285,"[178, 278, 304]"
286,[210]
287,[]
288,[227]
289,[285]
290,[]
291,[]
292,[]
293,[292]
294,"[135, 233, 285]"
295,"[165, 247, 264, 286]"
296,[269]
297,"[137, 240]"
298,"[230, 304]"
299,[282]
300,"[111, 289, 297]"
301,"[158, 227]"
302,[]
303,"[109, 110, 113, 133, 158, 233, 291]"
304,"[111, 113, 115, 158, 239]"
305,"[112, 158, 213]"
306,"[159, 160]"
307,"[116, 212, 305]"
308,"[87, 160, 204]"
309,"[160, 165, 287]"
310,[222]
311,"[161, 227, 263, 296]"
312,[288]
313,"[129, 139, 182, 214, 228, 241]"
314,[272]
315,"[234, 296]"
316,"[159, 209]"
317,[]
318,[229]
319,[292]
320,"[275, 290]"
321,"[160, 216, 307]"
322,"[105, 294]"
323,[268]
324,"[296, 308]"
325,"[63, 120, 180, 181, 198, 199, 200, 283, 292, 298]"
326,[228]
327,[298]
328,"[162, 184, 278, 292, 295]"
329,"[135, 241, 302]"
330,"[290, 299]"
331,[206]
332,"[294, 299]"
333,"[102, 196, 218, 278]"
334,"[165, 309]"
335,"[111, 185, 194, 266, 284, 298]"
336,[273]
337,"[208, 212, 298, 299]"
338,"[286, 301]"
339,"[295, 299, 300]"
340,"[128, 220, 285, 286, 299, 314]"
341,"[30, 118, 198, 280, 286, 290, 298]"
342,[]
343,"[171, 296, 299, 305, 319]"
344,"[198, 210, 262, 300, 322]"
345,[198]
346,"[27, 245, 298, 304, 308, 322]"
347,"[139, 263, 281, 319]"
348,"[294, 308]"
349,[]
350,[]
351,"[176, 280, 296]"
352,"[296, 300]"
353,"[185, 276, 285]"
354,"[126, 146, 291, 294, 299]"
355,[188]
356,"[301, 332]"
357,"[191, 201, 220]"
358,"[216, 218, 299, 301]"
359,"[232, 298, 299, 300, 302]"
360,[202]
361,[]
362,"[185, 198, 227]"
363,[194]
364,"[122, 304]"
365,[305]
366,"[219, 260]"
367,"[228, 252]"
368,"[155, 234]"
369,[207]
370,[225]
371,[]
372,[209]
373,"[51, 135]"
374,[280]
375,[145]
376,[]
377,[262]
378,"[143, 274, 329]"
379,[328]
