device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_validity,timestamp,gaze_vizualisation_x,gaze_vizualisation_y
19192477240,885670524485,"(0.7063093781471252, 1.050224781036377)","(75.84426879882812, 7.103601455688477, -5.460458278656006)",1,3.9149169921875,1,"(-65.29497528076172, -62.42941665649414, 792.723876953125)","(0.6129180788993835, 0.6283183693885803, 0.7957092523574829)",1,"(0.7306685447692871, 1.075469732284546)","(84.7991943359375, 2.19809889793396, -7.245850086212158)",1,3.6667327880859375,1,"(-7.80150032043457, -68.48377227783203, 795.8980102539062)","(0.5097766518592834, 0.6434126496315002, 0.7977540493011475)",1,1702303592299,0.72,1.06
19192488343,885670535613,"(0.7501590251922607, 1.0614123344421387)","(91.9642105102539, 4.929690361022949, -6.2516632080078125)",1,3.9162445068359375,1,"(-65.29501342773438, -62.34895324707031, 791.5869140625)","(0.6130865812301636, 0.628338098526001, 0.7934373617172241)",1,"(0.7607396245002747, 1.0719192028045654)","(95.85385131835938, 2.888026475906372, -6.994743824005127)",1,3.6808013916015625,1,"(-7.877532005310059, -68.3980941772461, 794.7638549804688)","(0.5099328756332397, 0.6434391736984253, 0.7954810857772827)",1,1702303592310,0.76,1.07
19192499446,885670546742,"(0.7516658902168274, 1.064453125)","(92.5182113647461, 4.338786602020264, -6.466722011566162)",1,3.9039764404296875,1,"(-65.29710388183594, -62.37368392944336, 791.70263671875)","(0.613073468208313, 0.6283756494522095, 0.7936714887619019)",1,"(0.7577306032180786, 1.0745751857757568)","(94.7476806640625, 2.3719322681427, -7.182590007781982)",1,3.6855010986328125,1,"(-7.876741409301758, -68.42265319824219, 794.8793334960938)","(0.5099295973777771, 0.6434740424156189, 0.79571533203125)",1,1702303592322,0.75,1.07
19192510549,885670557847,"(0.7570129036903381, 1.0648084878921509)","(94.48385620117188, 4.269759654998779, -6.491847515106201)",1,3.8692626953125,1,"(-65.30830383300781, -62.3934440612793, 791.7586059570312)","(0.6130855083465576, 0.6284122467041016, 0.7937877178192139)",1,"(0.755675196647644, 1.078336238861084)","(93.99209594726562, 1.6410961151123047, -7.448585510253906)",1,3.691650390625,1,"(-7.88712739944458, -68.44223022460938, 794.9361572265625)","(0.5099474191665649, 0.6435088515281677, 0.7958320379257202)",1,1702303592332,0.76,1.07
19192521652,885670568951,"(0.7612259387969971, 1.058308482170105)","(96.03266143798828, 5.532782077789307, -6.0320916175842285)",1,3.8794403076171875,1,"(-65.31029510498047, -62.40742111206055, 791.856689453125)","(0.6130746603012085, 0.6284273266792297, 0.79398512840271)",1,"(0.7523865103721619, 1.0734827518463135)","(92.78312683105469, 2.5841739177703857, -7.105281829833984)",1,3.6913299560546875,1,"(-7.88134241104126, -68.45986938476562, 795.0345458984375)","(0.5099354982376099, 0.6435309052467346, 0.79603111743927)",1,1702303592350,0.76,1.07
19192532755,885670580054,"(0.7611429691314697, 1.058539628982544)","(96.00212097167969, 5.487872123718262, -6.048437118530273)",1,3.8814697265625,1,"(-65.30349731445312, -62.418277740478516, 791.8563842773438)","(0.6130626201629639, 0.6284534931182861, 0.7939852476119995)",1,"(0.7518138885498047, 1.0724403858184814)","(92.57262420654297, 2.7867343425750732, -7.03156852722168)",1,3.6887054443359375,1,"(-7.872138500213623, -68.47742462158203, 795.034423828125)","(0.509919285774231, 0.643572986125946, 0.7960337996482849)",1,1702303592373,0.76,1.07
19192543858,885670591158,"(0.7563440799713135, 1.0709227323532104)","(94.23797607421875, 3.0816335678100586, -6.924236297607422)",1,3.9236297607421875,1,"(-65.29385375976562, -62.424468994140625, 791.9102172851562)","(0.6130374073982239, 0.628458559513092, 0.7940915822982788)",1,"(0.746592104434967, 1.070759654045105)","(90.6529769897461, 3.113356590270996, -6.912697792053223)",1,3.7121429443359375,1,"(-7.860133647918701, -68.48827362060547, 795.0877685546875)","(0.509896993637085, 0.6435881853103638, 0.7961416244506836)",1,1702303592373,0.75,1.07
19192554961,885670602261,"(0.7511868476867676, 1.0716887712478638)","(92.34208679199219, 2.9327759742736816, -6.97840690612793)",1,3.9268798828125,1,"(-65.28765106201172, -62.4307746887207, 792.0159301757812)","(0.6130105257034302, 0.6284540295600891, 0.7943015098571777)",1,"(0.7457798719406128, 1.0678728818893433)","(90.3543701171875, 3.6742799282073975, -6.708560466766357)",1,3.715087890625,1,"(-7.844524383544922, -68.5014877319336, 795.193359375)","(0.509867250919342, 0.6435983180999756, 0.7963539958000183)",1,1702303592376,0.75,1.07
19192566065,885670613365,"(0.7534151077270508, 1.0699822902679443)","(93.1612548828125, 3.264370918273926, -6.857732772827148)",1,3.919952392578125,1,"(-65.28117370605469, -62.43368911743164, 792.10009765625)","(0.6129863858222961, 0.6284453272819519, 0.7944681644439697)",1,"(0.7476955652236938, 1.0695303678512573)","(91.05865478515625, 3.3521857261657715, -6.825789928436279)",1,3.7093048095703125,1,"(-7.829902172088623, -68.51111602783203, 795.2772827148438)","(0.509839653968811, 0.6436043977737427, 0.7965224385261536)",1,1702303592390,0.75,1.07
19192577168,885670624469,"(0.7569139003753662, 1.0577192306518555)","(94.4474868774414, 5.647266864776611, -5.990432262420654)",1,3.8853302001953125,1,"(-65.2740707397461, -62.43616485595703, 792.1332397460938)","(0.6129687428474426, 0.6284452080726624, 0.7945331931114197)",1,"(0.7500675916671753, 1.0647355318069458)","(91.93064880371094, 4.283905982971191, -6.486693382263184)",1,3.6876068115234375,1,"(-7.820132255554199, -68.51875305175781, 795.310302734375)","(0.5098216533660889, 0.6436160802841187, 0.7965893745422363)",1,1702303592398,0.75,1.06
19192588271,885670635572,"(0.7610129714012146, 1.0578128099441528)","(95.9543685913086, 5.6291279792785645, -5.997057914733887)",1,3.891693115234375,1,"(-65.26678466796875, -62.43815994262695, 792.2101440429688)","(0.6129441857337952, 0.6284357905387878, 0.7946851849555969)",1,"(0.7506523728370667, 1.0701847076416016)","(92.14561462402344, 3.225051164627075, -6.872053623199463)",1,3.6866607666015625,1,"(-7.80480432510376, -68.52735900878906, 795.3870849609375)","(0.5097929239273071, 0.6436211466789246, 0.796743631362915)",1,1702303592410,0.76,1.06
19192599374,885670646676,"(0.7599772810935974, 1.057887077331543)","(95.5736312866211, 5.61469030380249, -6.002305030822754)",1,3.9063568115234375,1,"(-65.24231719970703, -62.43681335449219, 792.1527099609375)","(0.6129088401794434, 0.6284438371658325, 0.7945668697357178)",1,"(0.7480294108390808, 1.0678400993347168)","(91.18134307861328, 3.6806721687316895, -6.706209659576416)",1,3.693939208984375,1,"(-7.780866622924805, -68.53112030029297, 795.3284301757812)","(0.5097513198852539, 0.6436427235603333, 0.7966269254684448)",1,1702303592421,0.75,1.06
19192610477,885670657779,"(0.7611168622970581, 1.0558069944381714)","(95.99253845214844, 6.0188798904418945, -5.855204105377197)",1,3.9181365966796875,1,"(-65.22466278076172, -62.445438385009766, 792.1011962890625)","(0.6128848791122437, 0.6284745335578918, 0.7944629192352295)",1,"(0.7466098070144653, 1.073256492614746)","(90.65948486328125, 2.6281650066375732, -7.089266777038574)",1,3.697113037109375,1,"(-7.765392303466797, -68.54312133789062, 795.2763061523438)","(0.5097247958183289, 0.6436823606491089, 0.7965247631072998)",1,1702303592432,0.75,1.06
19192621580,885670668883,"(0.7626513838768005, 1.0542100667953491)","(96.55662536621094, 6.329160690307617, -5.74226188659668)",1,3.9180450439453125,1,"(-65.1983413696289, -62.444129943847656, 792.0709838867188)","(0.6128421425819397, 0.6284776329994202, 0.794398307800293)",1,"(0.7458215951919556, 1.0772590637207031)","(90.3697509765625, 1.8504207134246826, -7.372375965118408)",1,3.7131195068359375,1,"(-7.741848945617676, -68.54510498046875, 795.2445068359375)","(0.5096833109855652, 0.6436941027641296, 0.796461284160614)",1,1702303592443,0.75,1.07
19192632683,885670679987,"(0.7654858231544495, 1.0554906129837036)","(97.5986328125, 6.08035135269165, -5.832805156707764)",1,3.90618896484375,1,"(-65.16138458251953, -62.43756866455078, 791.9744262695312)","(0.612790048122406, 0.6284807324409485, 0.7941994667053223)",1,"(0.7482475638389587, 1.0790854692459106)","(91.26155853271484, 1.4955183267593384, -7.501561641693115)",1,3.7163238525390625,1,"(-7.715170383453369, -68.54255676269531, 795.1458740234375)","(0.5096373558044434, 0.6437088847160339, 0.7962638139724731)",1,1702303592454,0.76,1.07
19192643786,885670691090,"(0.7682711482048035, 1.0612435340881348)","(98.62258911132812, 4.9624505043029785, -6.239678382873535)",1,3.897064208984375,1,"(-65.12297058105469, -62.4398193359375, 791.9381103515625)","(0.6127264499664307, 0.6284938454627991, 0.7941213250160217)",1,"(0.7513306736946106, 1.0792087316513062)","(92.39495849609375, 1.4715715646743774, -7.510278224945068)",1,3.7185211181640625,1,"(-7.685258865356445, -68.54895782470703, 795.1071166992188)","(0.5095847249031067, 0.6437327861785889, 0.796187162399292)",1,1702303592465,0.76,1.07
19192654890,885670702194,"(0.764674961566925, 1.061693549156189)","(97.30057525634766, 4.8750224113464355, -6.271453380584717)",1,3.90142822265625,1,"(-65.09362030029297, -62.429019927978516, 791.9534912109375)","(0.6126712560653687, 0.6284657120704651, 0.794145405292511)",1,"(0.7546831369400024, 1.0785659551620483)","(93.62738037109375, 1.596500039100647, -7.46483039855957)",1,3.7042999267578125,1,"(-7.657723426818848, -68.54421997070312, 795.1207885742188)","(0.5095351338386536, 0.6437192559242249, 0.7962130308151245)",1,1702303592477,0.76,1.07
19192665993,885670713295,"(0.7663975358009338, 1.0580161809921265)","(97.93382263183594, 5.589574337005615, -6.011385917663574)",1,3.9199066162109375,1,"(-64.939208984375, -62.361419677734375, 790.985107421875)","(0.6125368475914001, 0.628488302230835, 0.7921853065490723)",1,"(0.7630550861358643, 1.07817542552948)","(96.7050552368164, 1.6724077463150024, -7.437190055847168)",1,3.7263946533203125,1,"(-7.568113327026367, -68.47632598876953, 794.1438598632812)","(0.509391725063324, 0.6437599658966064, 0.7942531704902649)",1,1702303592508,0.76,1.07
19192677096,885670724396,"(0.7921968698501587, 1.0597115755081177)","(107.41812896728516, 5.260146617889404, -6.131272792816162)",1,3.96478271484375,1,"(-64.66240692138672, -62.473331451416016, 791.8436279296875)","(0.6119136214256287, 0.6286019086837769, 0.7938638925552368)",1,"(0.7991818189620972, 1.0592758655548096)","(109.98590850830078, 5.344870090484619, -6.100545406341553)",1,3.7884521484375,1,"(-7.244478702545166, -68.60238647460938, 794.9812622070312)","(0.5087991952896118, 0.6438957452774048, 0.7959373593330383)",1,1702303592509,0.8,1.06
19192688199,885670735497,"(0.8438774943351746, 1.064212679862976)","(126.4168701171875, 4.385509014129639, -6.449636936187744)",1,4.122467041015625,1,"(-64.36898803710938, -62.68389129638672, 793.4910888671875)","(0.6111475825309753, 0.6288038492202759, 0.7971233129501343)",1,"(0.8538081645965576, 1.0383034944534302)","(130.06759643554688, 9.42005729675293, -4.617297649383545)",1,3.9643402099609375,1,"(-6.868122577667236, -68.82769775390625, 796.6045532226562)","(0.5081020593643188, 0.6441071629524231, 0.7992038726806641)",1,1702303592509,0.85,1.05
19192699302,885670746597,"(0.9597770571708679, 1.100635290145874)","(169.0237274169922, -2.6919524669647217, -9.025636672973633)",1,4.1921539306640625,1,"(-63.96115493774414, -62.81126022338867, 793.5529174804688)","(0.6104093790054321, 0.6291056275367737, 0.7972006797790527)",1,"(1.0351850986480713, 1.2740399837493896)","(196.74508666992188, -36.38703155517578, -21.289737701416016)",1,3.5763092041015625,1,"(-6.485325813293457, -68.96676635742188, 796.63818359375)","(0.5074201226234436, 0.6444396376609802, 0.7992884516716003)",1,1702303592524,1.0,1.19
19192710405,885670757699,"(1.0583292245864868, 1.1265990734100342)","(205.2533721923828, -7.737072467803955, -10.861948013305664)",1,4.2743377685546875,1,"(-63.64479446411133, -62.88282775878906, 793.107421875)","(0.6099080443382263, 0.6293671727180481, 0.7962759733200073)",1,"(1.179700493812561, 1.550696611404419)","(249.87164306640625, -90.14554595947266, -40.856197357177734)",1,3.172393798828125,1,"(-6.250327110290527, -69.0361099243164, 796.171142578125)","(0.5070088505744934, 0.644706130027771, 0.7983660697937012)",1,1702303592531,1.12,1.34
19192721508,885670768803,"(1.0583292245864868, 1.1265990734100342)","(205.2533721923828, -7.737072467803955, -10.861948013305664)",1,4.2743377685546875,1,"(-63.380916595458984, -62.929813385009766, 792.4322509765625)","(0.6095331311225891, 0.629612386226654, 0.7948996424674988)",1,"(1.179700493812561, 1.550696611404419)","(249.87164306640625, -90.14554595947266, -40.856197357177734)",1,3.172393798828125,1,"(-6.088304042816162, -69.07979583740234, 795.4786376953125)","(0.5067304968833923, 0.6449568271636963, 0.7969913482666016)",1,1702303592543,1.12,1.34
19192732611,885670779906,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-63.15333938598633, -63.1565055847168, 793.2377319335938)","(0.6090120673179626, 0.6300077438354492, 0.7965002655982971)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-5.872109889984131, -69.31307983398438, 796.2667846679688)","(0.5063361525535583, 0.6453542113304138, 0.7985988855361938)",1,1702303592554
19192743715,885670791010,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-62.927345275878906, -63.15868377685547, 792.7362670898438)","(0.6086788177490234, 0.6301125884056091, 0.7954681515693665)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-5.67283296585083, -69.31263732910156, 795.7504272460938)","(0.5059874057769775, 0.6454645395278931, 0.7975671291351318)",1,1702303592565
19192754818,885670802114,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-63.01493835449219, -63.20417785644531, 791.9365844726562)","(0.6089519262313843, 0.6303707361221313, 0.7938998937606812)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-5.893445014953613, -69.35629272460938, 794.9594116210938)","(0.5063942074775696, 0.6457280516624451, 0.7960018515586853)",1,1702303592576
19192765921,885670813217,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-62.904266357421875, -63.192413330078125, 791.6052856445312)","(0.6088006496429443, 0.6304077506065369, 0.7932220697402954)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-5.879017353057861, -69.332763671875, 794.6193237304688)","(0.5063729286193848, 0.6457429528236389, 0.7953200936317444)",1,1702303592587
19192777024,885670824320,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-62.6899528503418, -63.144344329833984, 791.1609497070312)","(0.6084785461425781, 0.6303815245628357, 0.7922974824905396)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-5.688166618347168, -69.28394317626953, 794.1605834960938)","(0.5060369968414307, 0.6457260847091675, 0.7943947911262512)",1,1702303592598
19192788127,885670835424,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-62.7660026550293, -63.10877990722656, 790.5309448242188)","(0.6087055206298828, 0.6304140090942383, 0.7910517454147339)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-5.863647937774658, -69.24073028564453, 793.5369262695312)","(0.5063598155975342, 0.6457488536834717, 0.7931472063064575)",1,1702303592609
19192799230,885670846527,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-62.690391540527344, -63.07637405395508, 789.8856201171875)","(0.6086618900299072, 0.6304603815078735, 0.789752185344696)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-5.880699157714844, -69.20751953125, 792.8875732421875)","(0.506399393081665, 0.6458044648170471, 0.7918478846549988)",1,1702303592641
19192810333,885670857630,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-62.50299835205078, -62.99264144897461, 789.44970703125)","(0.6083857417106628, 0.6303462982177734, 0.788843035697937)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-5.7167649269104, -69.12177276611328, 792.438720703125)","(0.5061103105545044, 0.6456965804100037, 0.7909364104270935)",1,1702303592641
19192821436,885670868734,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-62.441566467285156, -62.99442672729492, 789.1675415039062)","(0.608315646648407, 0.6304054856300354, 0.7882727980613708)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-5.665516376495361, -69.12029266357422, 792.1528930664062)","(0.5060223937034607, 0.645753800868988, 0.790365993976593)",1,1702303592643
19192832540,885670879838,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-62.67304229736328, -62.99905776977539, 788.7788696289062)","(0.6087892055511475, 0.6304854154586792, 0.7875375747680664)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-6.029208183288574, -69.13658905029297, 791.7824096679688)","(0.5066813826560974, 0.6458621621131897, 0.7896360158920288)",1,1702303592657
19192843643,885670890942,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-62.38249588012695, -62.92937088012695, 788.3062133789062)","(0.6083321571350098, 0.6304142475128174, 0.7865414023399353)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-5.7604146003723145, -69.06686401367188, 791.2898559570312)","(0.5062044262886047, 0.6458039283752441, 0.7886385321617126)",1,1702303592666
19192854746,885670902045,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-62.07851791381836, -63.13751983642578, 787.9232177734375)","(0.6078417897224426, 0.6309947967529297, 0.7857656478881836)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-5.37838888168335, -69.37545776367188, 790.8974609375)","(0.5055280327796936, 0.6466342806816101, 0.7879051566123962)",1,1702303592677
19192865849,885670913149,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-62.34659957885742, -62.83086013793945, 786.9339599609375)","(0.608463704586029, 0.6304392218589783, 0.7837927341461182)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-5.760675430297852, -69.04953002929688, 789.9263305664062)","(0.5062244534492493, 0.646047830581665, 0.7859188318252563)",1,1702303592688
19192876952,885670924251,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-62.15791702270508, -62.81199645996094, 786.4246215820312)","(0.6081957221031189, 0.6304950714111328, 0.7827478051185608)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-5.5967583656311035, -69.03092193603516, 789.4050903320312)","(0.505936324596405, 0.6461160778999329, 0.7848746180534363)",1,1702303592699
19192888055,885670935353,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-62.130855560302734, -62.73274612426758, 785.6367797851562)","(0.6082592010498047, 0.6304548382759094, 0.7811650633811951)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-5.660774230957031, -68.93839263916016, 788.6159057617188)","(0.5060614943504333, 0.6460580229759216, 0.7832872271537781)",1,1702303592710
19192899158,885670946455,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-62.04490280151367, -62.68370819091797, 784.8234252929688)","(0.6082202792167664, 0.6304938197135925, 0.7795273661613464)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-5.652681350708008, -68.87596130371094, 787.797119140625)","(0.5060576796531677, 0.6460800766944885, 0.781644880771637)",1,1702303592721
19192910261,885670957556,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-61.90253448486328, -62.6207389831543, 784.401123046875)","(0.608022153377533, 0.6304255127906799, 0.7786556482315063)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-5.528654098510742, -68.81096649169922, 787.3653564453125)","(0.5058387517929077, 0.6460171341896057, 0.7807716131210327)",1,1702303592732
19192921365,885670968659,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-61.87545394897461, -62.581016540527344, 783.6785278320312)","(0.6080767512321472, 0.6304683089256287, 0.7772089838981628)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-5.582700729370117, -68.76168060302734, 786.6419067382812)","(0.5059458613395691, 0.6460493803024292, 0.7793225049972534)",1,1702303592744
