key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,29.01.2024
Export Time,14:47:43
Frame Index Range:,0 - 812
Relative Time Range,00:00.000 - 00:44.986
Absolute Time Range,361046.43155 - 361091.418336
