device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_validity,timestamp,gaze_vizualisation_x,gaze_vizualisation_y
24500128512,2095528846149,"(0.6264998912811279, 0.41855090856552124)","(46.504825592041016, 129.84719848632812, 39.21456527709961)",1,3.7500762939453125,1,"(-125.48997497558594, 129.46011352539062, 820.5279541015625)","(0.7104504704475403, 0.1780962198972702, 0.8802068829536438)",1,"(0.743408739566803, 0.7416370511054993)","(89.48274230957031, 67.06672668457031, 16.364355087280273)",1,3.5689849853515625,1,"(-64.61803436279297, 113.78922271728516, 825.2862548828125)","(0.6044015288352966, 0.21720582246780396, 0.8711922764778137)",1,1704723778763,0.68,0.58
24500139615,2095528857256,"(0.6314049363136292, 0.4093557894229889)","(48.30801010131836, 131.63392639160156, 39.86492919921875)",1,3.7526397705078125,1,"(-125.26451110839844, 129.4508056640625, 820.4898681640625)","(0.7100692391395569, 0.1781085580587387, 0.8800622820854187)",1,"(0.742004930973053, 0.7408499717712402)","(88.96665954589844, 67.21965789794922, 16.420076370239258)",1,3.5748443603515625,1,"(-64.3852310180664, 113.78046417236328, 825.2324829101562)","(0.6040070652961731, 0.2172137349843979, 0.8710476160049438)",1,1704723778774,0.69,0.58
24500150718,2095528868363,"(0.6306164264678955, 0.4048421382904053)","(48.01814651489258, 132.510986328125, 40.18415832519531)",1,3.7552947998046875,1,"(-125.07194519042969, 129.4529266357422, 820.5833740234375)","(0.709710419178009, 0.17814216017723083, 0.8801882266998291)",1,"(0.7405745387077332, 0.745110273361206)","(88.44081115722656, 66.39180755615234, 16.1187801361084)",1,3.582061767578125,1,"(-64.17491149902344, 113.77864074707031, 825.3118286132812)","(0.6036337018013, 0.21724766492843628, 0.8711716532707214)",1,1704723778785,0.69,0.57
24500161821,2095528879470,"(0.6351730823516846, 0.39832624793052673)","(49.693275451660156, 133.77708435058594, 40.64500045776367)",1,3.7382965087890625,1,"(-124.86248016357422, 129.408935546875, 820.40771484375)","(0.7093935608863831, 0.17818379402160645, 0.8797691464424133)",1,"(0.7411543130874634, 0.740714430809021)","(88.65398406982422, 67.24597930908203, 16.429697036743164)",1,3.579132080078125,1,"(-63.975948333740234, 113.72842407226562, 825.1207885742188)","(0.6033163070678711, 0.21730656921863556, 0.8707500100135803)",1,1704723778797,0.69,0.57
24500172925,2095528890578,"(0.631965696811676, 0.40649786591529846)","(48.51417541503906, 132.1892547607422, 40.06704330444336)",1,3.75701904296875,1,"(-124.65156555175781, 129.38912963867188, 820.3814697265625)","(0.7090345621109009, 0.17822447419166565, 0.8796491622924805)",1,"(0.7427233457565308, 0.7362514138221741)","(89.23076629638672, 68.11322021484375, 16.745332717895508)",1,3.58392333984375,1,"(-63.761146545410156, 113.7028579711914, 825.0789184570312)","(0.6029515266418457, 0.2173566222190857, 0.8706274628639221)",1,1704723778808,0.69,0.57
24500184028,2095528901685,"(0.6323007345199585, 0.4062735438346863)","(48.6373405456543, 132.23284912109375, 40.082908630371094)",1,3.760498046875,1,"(-124.47671508789062, 129.39183044433594, 820.4988403320312)","(0.70870041847229, 0.17826516926288605, 0.8798273801803589)",1,"(0.7432079315185547, 0.7354347109794617)","(89.40889739990234, 68.27194213867188, 16.803077697753906)",1,3.586883544921875,1,"(-63.572200775146484, 113.69493103027344, 825.18212890625)","(0.6026119589805603, 0.21741178631782532, 0.8708005547523499)",1,1704723778819,0.69,0.57
24500195131,2095528912791,"(0.632963240146637, 0.4037693738937378)","(48.880897521972656, 132.7194366455078, 40.260005950927734)",1,3.770263671875,1,"(-124.28546905517578, 129.34597778320312, 820.3117065429688)","(0.7084178924560547, 0.1783064901828766, 0.8793910145759583)",1,"(0.7416456341743469, 0.7443245649337769)","(88.83456420898438, 66.54452514648438, 16.174360275268555)",1,3.5968475341796875,1,"(-63.39404296875, 113.64183044433594, 824.9806518554688)","(0.6023316383361816, 0.217473566532135, 0.8703608512878418)",1,1704723778830,0.69,0.57
24500206234,2095528923898,"(0.6282421946525574, 0.405032217502594)","(47.14533996582031, 132.47402954101562, 40.17072296142578)",1,3.7574920654296875,1,"(-124.08808135986328, 129.3425750732422, 820.3297119140625)","(0.7080705165863037, 0.17832523584365845, 0.8793668150901794)",1,"(0.7415817379951477, 0.7431397438049316)","(88.81108856201172, 66.77471923828125, 16.258134841918945)",1,3.5987091064453125,1,"(-63.19401168823242, 113.62937927246094, 824.9828491210938)","(0.601986289024353, 0.21750716865062714, 0.8703314065933228)",1,1704723778841,0.68,0.57
24500217337,2095528935005,"(0.6277371644973755, 0.40704667568206787)","(46.95967483520508, 132.08258056640625, 40.02825164794922)",1,3.7441558837890625,1,"(-123.90753936767578, 129.35525512695312, 820.3638916015625)","(0.7077480554580688, 0.1783122569322586, 0.8793841600418091)",1,"(0.7406464219093323, 0.7476834654808044)","(88.46722412109375, 65.89180755615234, 15.936779975891113)",1,3.598846435546875,1,"(-63.009891510009766, 113.63325500488281, 825.002197265625)","(0.6016658544540405, 0.21750828623771667, 0.8703429102897644)",1,1704723778873,0.68,0.58
24500228440,2095528946112,"(0.6212339997291565, 0.4095352590084076)","(44.56897735595703, 131.5990447998047, 39.85224151611328)",1,3.7430267333984375,1,"(-123.71337127685547, 129.33554077148438, 820.1707763671875)","(0.707461416721344, 0.17829088866710663, 0.8789435029029846)",1,"(0.7399429082870483, 0.7452862858772278)","(88.20861053466797, 66.3576431274414, 16.106298446655273)",1,3.5867462158203125,1,"(-62.827476501464844, 113.60740661621094, 824.7943115234375)","(0.601378321647644, 0.21750544011592865, 0.869897723197937)",1,1704723778873,0.68,0.58
