key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,29.01.2024
Export Time,14:41:50
Frame Index Range:,0 - 2116
Relative Time Range,00:00.000 - 01:27.331
Absolute Time Range,436635.661586 - 436722.99274099997
