key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,12.01.2024
Export Time,11:11:16
Frame Index Range:,0 - 1701
Relative Time Range,00:00.000 - 01:25.212
Absolute Time Range,235305.103008 - 235390.315309
