key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,19.01.2024
Export Time,16:30:10
Frame Index Range:,0 - 1012
Relative Time Range,00:00.000 - 00:52.973
Absolute Time Range,70529.347683 - 70582.32079499999
