key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,23.01.2024
Export Time,12:06:48
Frame Index Range:,0 - 772
Relative Time Range,00:00.000 - 00:41.081
Absolute Time Range,415944.126111 - 415985.207204
