key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,29.01.2024
Export Time,15:47:42
Frame Index Range:,0 - 1571
Relative Time Range,00:00.000 - 01:01.255
Absolute Time Range,271128.87790099997 - 271190.13350399997
