timestamp,action,block,x0,y0,x1,y1,x2,y2,x3,y3,type
351,0,10,0.08333333333333333,0.6666666666666666,0.125,0.6666666666666666,0.125,0.8333333333333334,0.08333333333333333,0.8333333333333334,0
436,1,10,0.3958333333333333,0.3333333333333333,0.4791666666666667,0.3333333333333333,0.4791666666666667,0.4166666666666667,0.3958333333333333,0.4166666666666667,0
492,0,9,0.0,0.6666666666666666,0.041666666666666664,0.6666666666666666,0.041666666666666664,0.8333333333333334,0.0,0.8333333333333334,0
690,1,9,0.4375,0.25,0.5208333333333334,0.25,0.5208333333333334,0.3333333333333333,0.4375,0.3333333333333333,0
753,0,8,0.16666666666666666,0.5,0.20833333333333334,0.5,0.20833333333333334,0.6666666666666666,0.16666666666666666,0.6666666666666666,0
833,1,8,0.4583333333333333,0.16666666666666666,0.5,0.16666666666666666,0.5,0.3333333333333333,0.4583333333333333,0.3333333333333333,0
902,0,21,0.7916666666666666,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.7916666666666666,0.8333333333333334,0
1049,1,21,0.4583333333333333,0.4166666666666667,0.5416666666666666,0.4166666666666667,0.5416666666666666,0.5,0.4583333333333333,0.5,0
1113,0,22,0.875,0.6666666666666666,0.9166666666666666,0.6666666666666666,0.9166666666666666,0.8333333333333334,0.875,0.8333333333333334,0
1203,1,22,0.4583333333333333,0.5,0.5416666666666666,0.5,0.5416666666666666,0.5833333333333334,0.4583333333333333,0.5833333333333334,0
1265,0,23,0.9583333333333334,0.5,1.0,0.5,1.0,0.6666666666666666,0.9583333333333334,0.6666666666666666,0
1383,1,23,0.4583333333333333,0.5833333333333334,0.5416666666666666,0.5833333333333334,0.5416666666666666,0.6666666666666666,0.4583333333333333,0.6666666666666666,0
1445,0,18,0.7916666666666666,0.5,0.8333333333333334,0.5,0.8333333333333334,0.6666666666666666,0.7916666666666666,0.6666666666666666,0
1516,1,18,0.4166666666666667,0.4166666666666667,0.4583333333333333,0.4166666666666667,0.4583333333333333,0.5833333333333334,0.4166666666666667,0.5833333333333334,0
1563,0,19,0.875,0.5,0.9166666666666666,0.5,0.9166666666666666,0.6666666666666666,0.875,0.6666666666666666,0
1640,1,19,0.4166666666666667,0.5,0.4583333333333333,0.5,0.4583333333333333,0.6666666666666666,0.4166666666666667,0.6666666666666666,0
1691,0,20,0.9583333333333334,0.5,1.0,0.5,1.0,0.6666666666666666,0.9583333333333334,0.6666666666666666,0
1762,1,20,0.4166666666666667,0.5833333333333334,0.4583333333333333,0.5833333333333334,0.4583333333333333,0.75,0.4166666666666667,0.75,0
