id,block,x0,y0,x1,y1,x2,y2,x3,y4,level
0,11,24,9,27,9,27,10,24,10,0
1,10,20,9,23,9,23,10,20,10,0
2,9,22,7,25,7,25,8,22,8,0
3,8,23,5,24,5,24,6,23,6,0
4,21,23,11,26,11,26,12,23,12,0
5,22,23,13,26,13,26,14,23,14,0
6,23,23,15,22,15,22,16,21,16,0
7,18,21,11,22,11,22,12,21,12,0
8,19,21,13,22,13,22,14,21,14,0
9,20,21,15,22,15,22,16,21,16,0
