timestamp,event,device
6,enter,SCREEN
1070,quit,SCREEN
1529,enter,TABLE
2371,quit,TABLE
2550,enter,SCREEN
2566,quit,SCREEN
2567,enter,TABLE
2571,quit,TABLE
2572,enter,SCREEN
2685,quit,SCREEN
2686,enter,TABLE
2693,quit,TABLE
2694,enter,SCREEN
2778,quit,SCREEN
2780,enter,SCREEN
3331,quit,SCREEN
3332,enter,TABLE
3344,quit,TABLE
3345,enter,SCREEN
4218,quit,SCREEN
4219,enter,TABLE
4219,quit,TABLE
4220,enter,SCREEN
4862,quit,SCREEN
5588,enter,TABLE
6033,quit,TABLE
6177,enter,SCREEN
6398,grasp,BLOCK
6842,quit,SCREEN
7312,enter,TABLE
8451,quit,TABLE
8622,enter,TABLE
8690,quit,TABLE
8945,enter,SCREEN
9029,release,BLOCK
9089,quit,SCREEN
