key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,16.01.2024
Export Time,10:56:12
Frame Index Range:,0 - 1760
Relative Time Range,00:00.000 - 01:27.109
Absolute Time Range,339836.229837 - 339923.339552
