key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,12.01.2024
Export Time,11:14:51
Frame Index Range:,0 - 1422
Relative Time Range,00:00.000 - 01:11.059
Absolute Time Range,235190.23916 - 235261.29871899998
