key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,12.01.2024
Export Time,09:58:13
Frame Index Range:,0 - 1079
Relative Time Range,00:00.000 - 00:56.293
Absolute Time Range,231181.724661 - 231238.017776
