key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,19.01.2024
Export Time,10:05:06
Frame Index Range:,0 - 1196
Relative Time Range,00:00.000 - 00:45.717
Absolute Time Range,432045.757239 - 432091.47507499997
