key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,16.01.2024
Export Time,16:07:47
Frame Index Range:,0 - 1412
Relative Time Range,00:00.000 - 00:53.748
Absolute Time Range,353653.474644 - 353707.223178
