key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,17.01.2024
Export Time,11:56:03
Frame Index Range:,0 - 1094
Relative Time Range,00:00.000 - 00:59.129
Absolute Time Range,429842.940886 - 429902.07076
