key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,16.01.2024
Export Time,16:00:08
Frame Index Range:,0 - 1860
Relative Time Range,00:00.000 - 01:37.619
Absolute Time Range,358704.268521 - 358801.887681
