key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,17.01.2024
Export Time,11:51:49
Frame Index Range:,0 - 836
Relative Time Range,00:00.000 - 00:46.013
Absolute Time Range,429576.384468 - 429622.397946
